location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE-SN,00+,2021,49,2021-12-12,50,8,0,2,0,0,0,0,0,0,0,0
DE-SN,00+,2021,50,2021-12-19,54,2,2,1,0,0,0,1,0,0,0,0
DE-SN,00+,2021,51,2021-12-26,32,4,0,0,1,0,0,0,0,0,0,0
DE-SN,00+,2021,52,2022-01-02,41,10,0,0,0,3,0,0,0,2,0,0
DE-SN,00+,2022,1,2022-01-09,17,2,0,1,0,0,0,0,0,0,1,0
DE-SN,00+,2022,2,2022-01-16,17,-2,1,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,3,2022-01-23,10,6,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,4,2022-01-30,13,0,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,5,2022-02-06,12,2,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,6,2022-02-13,9,0,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,7,2022-02-20,1,0,0,0,0,2,0,0,0,0,0,0
DE-SN,00+,2022,8,2022-02-27,5,1,0,0,1,0,0,0,0,0,0,0
DE-SN,00+,2022,9,2022-03-06,3,0,0,1,0,0,0,0,0,0,0,0
DE-SN,00+,2022,10,2022-03-13,3,3,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,11,2022-03-20,0,1,0,0,0,0,0,0,0,0,0,0
DE-SN,00+,2022,12,2022-03-27,4,4,0,0,0,0,0,0,0,0,,
DE-SN,00+,2022,13,2022-04-03,4,3,0,0,0,0,0,0,0,,,
DE-SN,00+,2022,14,2022-04-10,4,0,0,0,0,0,0,0,,,,
DE-SN,00+,2022,15,2022-04-17,1,0,0,0,0,0,0,,,,,
DE-SN,00+,2022,16,2022-04-24,7,2,0,0,0,0,,,,,,
DE-SN,00+,2022,17,2022-05-01,3,4,0,0,0,,,,,,,
DE-SN,00+,2022,18,2022-05-08,4,1,0,0,,,,,,,,
DE-SN,00+,2022,19,2022-05-15,2,7,0,,,,,,,,,
DE-SN,00+,2022,20,2022-05-22,2,0,,,,,,,,,,
DE-SN,00+,2022,21,2022-05-29,0,,,,,,,,,,,
