date,year,week,location,age_group,value
2020-03-08,2020,10,DE,00+,83
2020-03-08,2020,10,DE,60-79,36
2020-03-08,2020,10,DE,80+,0
2020-03-15,2020,11,DE,00+,665
2020-03-15,2020,11,DE,60-79,308
2020-03-15,2020,11,DE,80+,106
2020-03-22,2020,12,DE,00+,1912
2020-03-22,2020,12,DE,60-79,889
2020-03-22,2020,12,DE,80+,350
2020-03-29,2020,13,DE,00+,4489
2020-03-29,2020,13,DE,60-79,1669
2020-03-29,2020,13,DE,80+,848
2020-04-05,2020,14,DE,00+,4406
2020-04-05,2020,14,DE,60-79,1651
2020-04-05,2020,14,DE,80+,1299
2020-04-12,2020,15,DE,00+,3159
2020-04-12,2020,15,DE,60-79,1089
2020-04-12,2020,15,DE,80+,1056
2020-04-19,2020,16,DE,00+,2327
2020-04-19,2020,16,DE,60-79,998
2020-04-19,2020,16,DE,80+,623
2020-04-26,2020,17,DE,00+,1829
2020-04-26,2020,17,DE,60-79,580
2020-04-26,2020,17,DE,80+,450
2020-05-03,2020,18,DE,00+,914
2020-05-03,2020,18,DE,60-79,290
2020-05-03,2020,18,DE,80+,243
2020-05-10,2020,19,DE,00+,914
2020-05-10,2020,19,DE,60-79,272
2020-05-10,2020,19,DE,80+,207
2020-05-17,2020,20,DE,00+,498
2020-05-17,2020,20,DE,60-79,199
2020-05-17,2020,20,DE,80+,118
2020-05-24,2020,21,DE,00+,249
2020-05-24,2020,21,DE,60-79,72
2020-05-24,2020,21,DE,80+,89
2020-05-31,2020,22,DE,00+,332
2020-05-31,2020,22,DE,60-79,72
2020-05-31,2020,22,DE,80+,106
2020-06-07,2020,23,DE,00+,249
2020-06-07,2020,23,DE,60-79,145
2020-06-07,2020,23,DE,80+,35
2020-06-14,2020,24,DE,00+,332
2020-06-14,2020,24,DE,60-79,54
2020-06-14,2020,24,DE,80+,53
2020-06-21,2020,25,DE,00+,166
2020-06-21,2020,25,DE,60-79,54
2020-06-21,2020,25,DE,80+,71
2020-06-28,2020,26,DE,00+,166
2020-06-28,2020,26,DE,60-79,90
2020-06-28,2020,26,DE,80+,17
2020-07-05,2020,27,DE,00+,166
2020-07-05,2020,27,DE,60-79,0
2020-07-05,2020,27,DE,80+,17
2020-07-12,2020,28,DE,00+,166
2020-07-12,2020,28,DE,60-79,18
2020-07-12,2020,28,DE,80+,0
2020-07-19,2020,29,DE,00+,166
2020-07-19,2020,29,DE,60-79,72
2020-07-19,2020,29,DE,80+,0
2020-07-26,2020,30,DE,00+,166
2020-07-26,2020,30,DE,60-79,90
2020-07-26,2020,30,DE,80+,17
2020-08-02,2020,31,DE,00+,332
2020-08-02,2020,31,DE,60-79,108
2020-08-02,2020,31,DE,80+,35
2020-08-09,2020,32,DE,00+,249
2020-08-09,2020,32,DE,60-79,18
2020-08-09,2020,32,DE,80+,53
2020-08-16,2020,33,DE,00+,249
2020-08-16,2020,33,DE,60-79,72
2020-08-16,2020,33,DE,80+,35
2020-08-23,2020,34,DE,00+,166
2020-08-23,2020,34,DE,60-79,36
2020-08-23,2020,34,DE,80+,17
2020-08-30,2020,35,DE,00+,332
2020-08-30,2020,35,DE,60-79,72
2020-08-30,2020,35,DE,80+,89
2020-09-06,2020,36,DE,00+,415
2020-09-06,2020,36,DE,60-79,108
2020-09-06,2020,36,DE,80+,89
2020-09-13,2020,37,DE,00+,332
2020-09-13,2020,37,DE,60-79,72
2020-09-13,2020,37,DE,80+,89
2020-09-20,2020,38,DE,00+,498
2020-09-20,2020,38,DE,60-79,90
2020-09-20,2020,38,DE,80+,53
2020-09-27,2020,39,DE,00+,581
2020-09-27,2020,39,DE,60-79,217
2020-09-27,2020,39,DE,80+,53
2020-10-04,2020,40,DE,00+,581
2020-10-04,2020,40,DE,60-79,290
2020-10-04,2020,40,DE,80+,106
2020-10-11,2020,41,DE,00+,914
2020-10-11,2020,41,DE,60-79,363
2020-10-11,2020,41,DE,80+,106
2020-10-18,2020,42,DE,00+,1912
2020-10-18,2020,42,DE,60-79,617
2020-10-18,2020,42,DE,80+,332
2020-10-25,2020,43,DE,00+,3741
2020-10-25,2020,43,DE,60-79,1234
2020-10-25,2020,43,DE,80+,1127
2020-11-01,2020,44,DE,00+,6484
2020-11-01,2020,44,DE,60-79,2541
2020-11-01,2020,44,DE,80+,1703
2020-11-08,2020,45,DE,00+,7648
2020-11-08,2020,45,DE,60-79,2704
2020-11-08,2020,45,DE,80+,2082
2020-11-15,2020,46,DE,00+,9311
2020-11-15,2020,46,DE,60-79,3194
2020-11-15,2020,46,DE,80+,2587
2020-11-22,2020,47,DE,00+,8978
2020-11-22,2020,47,DE,60-79,3031
2020-11-22,2020,47,DE,80+,2919
2020-11-29,2020,48,DE,00+,9810
2020-11-29,2020,48,DE,60-79,3085
2020-11-29,2020,48,DE,80+,3507
2020-12-06,2020,49,DE,00+,11057
2020-12-06,2020,49,DE,60-79,4029
2020-12-06,2020,49,DE,80+,3643
2020-12-13,2020,50,DE,00+,12969
2020-12-13,2020,50,DE,60-79,4573
2020-12-13,2020,50,DE,80+,4842
2020-12-20,2020,51,DE,00+,14050
2020-12-20,2020,51,DE,60-79,5372
2020-12-20,2020,51,DE,80+,4741
2020-12-27,2020,52,DE,00+,15380
2020-12-27,2020,52,DE,60-79,5191
