"date","week","location","age_group","value"
"2019-10-06",40,"DE","00-04",72.2060390763766
"2019-10-13",41,"DE","00-04",75.2042628774423
"2019-10-20",42,"DE","00-04",89.2007104795737
"2019-10-27",43,"DE","00-04",93.2362344582593
"2019-11-03",44,"DE","00-04",97.2007104795737
"2019-11-10",45,"DE","00-04",86.202486678508
"2019-11-17",46,"DE","00-04",113.243339253996
"2019-11-24",47,"DE","00-04",119.253996447602
"2019-12-01",48,"DE","00-04",115.218472468917
"2019-12-08",49,"DE","00-04",118.230905861457
"2019-12-15",50,"DE","00-04",141.250444049734
"2019-12-22",51,"DE","00-04",183.239786856128
"2019-12-29",52,"DE","00-04",187.204262877442
"2020-01-05",1,"DE","00-04",141.250444049734
"2020-01-12",2,"DE","00-04",140.227353463588
"2020-01-19",3,"DE","00-04",207.225577264654
"2020-01-26",4,"DE","00-04",220.198934280639
"2020-02-02",5,"DE","00-04",275.246891651865
"2020-02-09",6,"DE","00-04",314.238010657194
"2020-02-16",7,"DE","00-04",301.193605683837
"2020-02-23",8,"DE","00-04",273.200710479574
"2020-03-01",9,"DE","00-04",291.218472468917
"2020-03-08",10,"DE","00-04",313.214920071048
"2020-03-15",11,"DE","00-04",253.250444049734
"2020-03-22",12,"DE","00-04",141.250444049734
"2020-03-29",13,"DE","00-04",73.2291296625222
"2020-04-05",14,"DE","00-04",21.2504440497336
"2020-04-12",15,"DE","00-04",22.202486678508
"2020-04-19",16,"DE","00-04",3.21847246891653
"2020-04-26",17,"DE","00-04",7.25399644760216
"2020-05-03",18,"DE","00-04",11.2042628774423
"2020-05-10",19,"DE","00-04",4.24156305506219
"2020-05-17",20,"DE","00-04",4.24156305506219
"2020-05-24",21,"DE","00-04",4.24156305506219
"2020-05-31",22,"DE","00-04",8.20603907637656
"2020-06-07",23,"DE","00-04",11.2042628774423
"2020-06-14",24,"DE","00-04",7.25399644760216
"2020-06-21",25,"DE","00-04",16.1918294849023
"2020-06-28",26,"DE","00-04",27.190053285968
"2020-07-05",27,"DE","00-04",35.246891651865
"2020-07-12",28,"DE","00-04",52.1847246891652
"2020-07-19",29,"DE","00-04",60.2415630550622
"2020-07-26",30,"DE","00-04",42.2238010657194
"2020-08-02",31,"DE","00-04",49.2433392539965
"2020-08-09",32,"DE","00-04",37.2362344582594
"2020-08-16",33,"DE","00-04",49.2433392539965
"2020-08-23",34,"DE","00-04",57.2433392539965
"2020-08-30",35,"DE","00-04",64.2060390763766
"2020-09-06",36,"DE","00-04",64.2060390763766
"2020-09-13",37,"DE","00-04",67.2184724689166
"2020-09-20",38,"DE","00-04",53.2078152753108
"2020-09-27",39,"DE","00-04",51.2326820603908
"2020-10-04",40,"DE","00-04",32.2486678507993
"2020-10-11",41,"DE","00-04",38.1882770870338
"2020-10-18",42,"DE","00-04",43.2326820603908
"2020-10-25",43,"DE","00-04",34.2238010657194
"2020-11-01",44,"DE","00-04",20.2273534635879
"2020-11-08",45,"DE","00-04",30.202486678508
"2020-11-15",46,"DE","00-04",35.246891651865
"2020-11-22",47,"DE","00-04",35.246891651865
"2020-11-29",48,"DE","00-04",33.2007104795737
"2020-12-06",49,"DE","00-04",39.2113676731794
"2020-12-13",50,"DE","00-04",33.2007104795737
"2020-12-20",51,"DE","00-04",25.214920071048
"2020-12-27",52,"DE","00-04",20.2273534635879
"2021-01-03",53,"DE","00-04",14.2166962699822
"2021-01-10",1,"DE","00-04",14.2166962699822
