"stratum","value","week","year","date"
"A00..04",68.1644764730818,40,2018,2018-10-07
"A00..04",60.1526070368801,41,2018,2018-10-14
"A00..04",68.1644764730818,42,2018,2018-10-21
"A00..04",79.1578352409213,43,2018,2018-10-28
"A00..04",80.1752154867882,44,2018,2018-11-04
"A00..04",78.2111064010174,45,2018,2018-11-11
"A00..04",61.1699872827469,46,2018,2018-11-18
"A00..04",88.18708492299,47,2018,2018-11-25
"A00..04",118.199802176063,48,2018,2018-12-02
"A00..04",140.186519711742,49,2018,2018-12-09
"A00..04",128.175780698036,50,2018,2018-12-16
"A00..04",197.216334605059,51,2018,2018-12-23
"A00..04",225.194291366398,52,2018,2018-12-30
"A00..04",201.215204182563,1,2019,2019-01-06
"A00..04",216.165041684329,2,2019,2019-01-13
"A00..04",249.215769393811,3,2019,2019-01-20
"A00..04",304.210823795394,4,2019,2019-01-27
"A00..04",370.199236964816,5,2019,2019-02-03
"A00..04",399.194573972022,6,2019,2019-02-10
"A00..04",373.180726296453,7,2019,2019-02-17
"A00..04",359.205878196976,8,2019,2019-02-24
"A00..04",267.203617351985,9,2019,2019-03-03
"A00..04",217.182421930196,10,2019,2019-03-10
"A00..04",198.163063444963,11,2019,2019-03-17
"A00..04",196.198954359192,12,2019,2019-03-24
"A00..04",166.186237106118,13,2019,2019-03-31
"A00..04",144.19951957044,14,2019,2019-04-07
"A00..04",130.21054118977,15,2019,2019-04-14
"A00..04",107.192313127031,16,2019,2019-04-21
"A00..04",93.2174650275541,17,2019,2019-04-28
"A00..04",61.1699872827469,18,2019,2019-05-05
"A00..04",95.1815741133249,19,2019,2019-05-12
"A00..04",79.1578352409213,20,2019,2019-05-19
"A00..04",64.1514766143846,21,2019,2019-05-26
"A00..04",68.1644764730818,22,2019,2019-06-02
"A00..04",75.1589656634167,23,2019,2019-06-09
"A00..04",51.1940087607744,24,2019,2019-06-16
"A00..04",58.1884979511092,25,2019,2019-06-23
"A00..04",38.1517592200085,26,2019,2019-06-30
"A00..04",38.1517592200085,27,2019,2019-07-07
"A00..04",37.2050303801046,28,2019,2019-07-14
"A00..04",44.1995195704395,29,2019,2019-07-21
"A00..04",27.158400452169,30,2019,2019-07-28
"A00..04",26.2116716122651,31,2019,2019-08-04
"A00..04",28.1757806980359,32,2019,2019-08-11
"A00..04",28.1757806980359,33,2019,2019-08-18
"A00..04",38.1517592200085,34,2019,2019-08-25
"A00..04",40.1865197117423,35,2019,2019-09-01
"A00..04",46.1636286562103,36,2019,2019-09-08
"A00..04",67.2036173519854,37,2019,2019-09-15
"A00..04",65.1688568602515,38,2019,2019-09-22
"A00..04",68.1644764730818,39,2019,2019-09-29
"A00..04",72.1633460505864,40,2019,2019-10-06
"A00..04",75.1589656634167,41,2019,2019-10-13
"A00..04",89.2044651688569,42,2019,2019-10-20
"A00..04",93.2174650275541,43,2019,2019-10-27
"A00..04",97.1456831990957,44,2019,2019-11-03
"A00..04",86.1523244312562,45,2019,2019-11-10
"A00..04",113.169422071499,46,2019,2019-11-17
"A00..04",119.21718242193,47,2019,2019-11-24
"A00..04",115.204182563233,48,2019,2019-12-01
"A00..04",118.199802176063,49,2019,2019-12-08
"A00..04",141.203899957609,50,2019,2019-12-15
"A00..04",183.170835099619,51,2019,2019-12-22
"A00..04",187.169704677123,52,2019,2019-12-29
"A00..04",141.203899957609,1,2020,2020-01-05
"A00..04",140.186519711742,2,2020,2020-01-12
"A00..04",207.192313127031,3,2020,2020-01-19
"A00..04",220.163911261834,4,2020,2020-01-26
"A00..04",275.215486788187,5,2020,2020-02-02
"A00..04",314.186802317366,6,2020,2020-02-09
"A00..04",301.215204182563,7,2020,2020-02-16
"A00..04",273.180726296453,8,2020,2020-02-23
"A00..04",291.18270453582,9,2020,2020-03-01
"A00..04",313.169422071499,10,2020,2020-03-08
"A00..04",253.228769252508,11,2020,2020-03-15
"A00..04",141.203899957609,12,2020,2020-03-22
"A00..04",73.1807262964533,13,2020,2020-03-29
"A00..04",21.181291507701,14,2020,2020-04-05
"A00..04",22.1986717535679,15,2020,2020-04-12
"A00..04",3.19344354952665,16,2020,2020-04-19
"A00..04",7.19231312703127,17,2020,2020-04-26
"A00..04",11.2053129857284,18,2020,2020-05-03
"A00..04",4.14017238943055,19,2020,2020-05-10
"A00..04",4.14017238943055,20,2020,2020-05-17
"A00..04",4.14017238943055,21,2020,2020-05-24
"A00..04",8.15317224812776,22,2020,2020-05-31
"A00..04",11.2053129857284,23,2020,2020-06-07
"A00..04",7.19231312703127,24,2020,2020-06-14
"A00..04",16.1650416843295,25,2020,2020-06-21
"A00..04",27.158400452169,26,2020,2020-06-28
"A00..04",35.1702698883708,27,2020,2020-07-05
"A00..04",52.2113890066412,28,2020,2020-07-12
"A00..04",60.1526070368801,29,2020,2020-07-19
"A00..04",42.1647590787057,30,2020,2020-07-26
"A00..04",49.1592482690406,31,2020,2020-08-02
"A00..04",37.2050303801046,32,2020,2020-08-09
"A00..04",49.1592482690406,33,2020,2020-08-16
"A00..04",57.1711177052424,34,2020,2020-08-23
"A00..04",64.1514766143846,35,2020,2020-08-30
"A00..04",64.1514766143846,36,2020,2020-09-06
"A00..04",67.2036173519854,37,2020,2020-09-13
"A00..04",53.1581178465452,38,2020,2020-09-20
"A00..04",51.1940087607744,39,2020,2020-09-27
"A00..04",32.1746502755405,40,2020,2020-10-04
"A00..04",38.1517592200085,41,2020,2020-10-11
"A00..04",43.1821393245726,42,2020,2020-10-18
"A00..04",34.1528896425039,43,2020,2020-10-25
"A00..04",20.1639112618341,44,2020,2020-11-01
"A00..04",30.1398897838067,45,2020,2020-11-08
"A00..04",35.1702698883708,46,2020,2020-11-15
"A00..04",35.1702698883708,47,2020,2020-11-22
"A00..04",33.1920305214074,48,2020,2020-11-29
"A00..04",39.1691394658754,49,2020,2020-12-06
"A00..04",33.1920305214074,50,2020,2020-12-13
"A00..04",25.1942913663982,51,2020,2020-12-20
"A00..04",20.1639112618341,52,2020,2020-12-27
