"date","week","location","age_group","value"
"2024-10-06","40","DE","00+","86"
"2024-10-13","41","DE","00+","160"
"2024-10-20","42","DE","00+","155"
"2024-10-27","43","DE","00+","154"
"2024-11-03","44","DE","00+","124"
"2024-11-10","45","DE","00+","44"
"2024-10-06","40","DE-BB-BE","00+","4"
"2024-10-13","41","DE-BB-BE","00+","24"
"2024-10-20","42","DE-BB-BE","00+","22"
"2024-10-27","43","DE-BB-BE","00+","12"
"2024-11-03","44","DE-BB-BE","00+","16"
"2024-11-10","45","DE-BB-BE","00+","5"
"2024-10-06","40","DE-BW","00+","15"
"2024-10-13","41","DE-BW","00+","32"
"2024-10-20","42","DE-BW","00+","34"
"2024-10-27","43","DE-BW","00+","27"
"2024-11-03","44","DE-BW","00+","20"
"2024-11-10","45","DE-BW","00+","0"
"2024-10-06","40","DE-BY","00+","10"
"2024-10-13","41","DE-BY","00+","28"
"2024-10-20","42","DE-BY","00+","25"
"2024-10-27","43","DE-BY","00+","40"
"2024-11-03","44","DE-BY","00+","28"
"2024-11-10","45","DE-BY","00+","6"
"2024-10-06","40","DE-HE","00+","9"
"2024-10-13","41","DE-HE","00+","14"
"2024-10-20","42","DE-HE","00+","17"
"2024-10-27","43","DE-HE","00+","9"
"2024-11-03","44","DE-HE","00+","13"
"2024-11-10","45","DE-HE","00+","3"
"2024-10-06","40","DE-MV","00+","3"
"2024-10-13","41","DE-MV","00+","5"
"2024-10-20","42","DE-MV","00+","5"
"2024-10-27","43","DE-MV","00+","4"
"2024-11-03","44","DE-MV","00+","0"
"2024-11-10","45","DE-MV","00+","4"
"2024-10-06","40","DE-NI-HB","00+","4"
"2024-10-13","41","DE-NI-HB","00+","5"
"2024-10-20","42","DE-NI-HB","00+","10"
"2024-10-27","43","DE-NI-HB","00+","12"
"2024-11-03","44","DE-NI-HB","00+","5"
"2024-11-10","45","DE-NI-HB","00+","2"
"2024-10-06","40","DE-NW","00+","13"
"2024-10-13","41","DE-NW","00+","15"
"2024-10-20","42","DE-NW","00+","12"
"2024-10-27","43","DE-NW","00+","12"
"2024-11-03","44","DE-NW","00+","11"
"2024-11-10","45","DE-NW","00+","0"
"2024-10-06","40","DE-RP-SL","00+","6"
"2024-10-13","41","DE-RP-SL","00+","7"
"2024-10-20","42","DE-RP-SL","00+","2"
"2024-10-27","43","DE-RP-SL","00+","11"
"2024-11-03","44","DE-RP-SL","00+","6"
"2024-11-10","45","DE-RP-SL","00+","1"
"2024-10-06","40","DE-SH-HH","00+","9"
"2024-10-13","41","DE-SH-HH","00+","8"
"2024-10-20","42","DE-SH-HH","00+","6"
"2024-10-27","43","DE-SH-HH","00+","1"
"2024-11-03","44","DE-SH-HH","00+","4"
"2024-11-10","45","DE-SH-HH","00+","1"
"2024-10-06","40","DE-SN","00+","2"
"2024-10-13","41","DE-SN","00+","0"
"2024-10-20","42","DE-SN","00+","2"
"2024-10-27","43","DE-SN","00+","5"
"2024-11-03","44","DE-SN","00+","2"
"2024-11-10","45","DE-SN","00+","3"
"2024-10-06","40","DE-ST","00+","0"
"2024-10-13","41","DE-ST","00+","7"
"2024-10-20","42","DE-ST","00+","0"
"2024-10-27","43","DE-ST","00+","1"
"2024-11-03","44","DE-ST","00+","5"
"2024-11-10","45","DE-ST","00+","2"
"2024-10-06","40","DE-TH","00+","11"
"2024-10-13","41","DE-TH","00+","15"
"2024-10-20","42","DE-TH","00+","20"
"2024-10-27","43","DE-TH","00+","20"
"2024-11-03","44","DE-TH","00+","14"
"2024-11-10","45","DE-TH","00+","17"
